"Node Type","Category","COBOL","Lua","SCI","Lingo","Pascal","BASIC","Objective-C","AGI","Fountain","SCUMM","FORTRAN","Goal","ZIL","Forth","Muddle","Objective","Burgermistress","Coverage","Notes"
":exit","Statement",1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"6/17 (35%)","Generic exit"
":stop-run","Statement",1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"4/17 (23%)","Stop execution"
":copy","Statement",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,"11/17 (65%)","Include copybook"
":string-blt","Statement",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"3/17 (18%)","String block transfer - CRITICAL"
":log-fault","Statement",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"5/17 (29%)","Debug: log fault code"
":debug-break","Statement",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2/17 (11%)","Debug breakpoint - CRITICAL"
":assembly-entry","Statement",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/17 (6%)","Name assembly entry point"
":print","Statement",1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,"13/17 (76%)","Console output"
":input","Statement",1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,"12/17 (71%)","Console input"
":dialogue","Statement",1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,"12/17 (71%)","Display dialogue text"
":of","Expression",1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,"7/17 (41%)","Qualified identifier (field OF object)"
":address-of","Expression",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"4/17 (23%)","Memory address operator - CRITICAL"
":subscript","Expression",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,"4/17 (23%)","Array subscript - CRITICAL"
":refmod","Expression",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"3/17 (18%)","Reference modification (substring) - CRITICAL"
":null","Expression",1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"4/17 (23%)","Null value - CRITICAL"
":self","Expression",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"3/17 (18%)","Object self-reference - CRITICAL"
":=","Operator",1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,"10/17 (59%)","Equality comparison"
":≠","Operator",1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,"6/17 (35%)","Inequality comparison - GAP"
":<","Operator",1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,"6/17 (35%)","Less than - GAP"
":>","Operator",1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,"6/17 (35%)","Greater than - GAP"
":≤","Operator",1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,"6/17 (35%)","Less or equal - GAP"
":≥","Operator",1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,"6/17 (35%)","Greater or equal - GAP"
":+","Operator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0/17 (0%)","Addition operator - MISSING EVERYWHERE"
":-","Operator",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2/17 (11%)","Subtraction operator - CRITICAL"
":×","Operator",0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"4/17 (23%)","Multiplication operator - CRITICAL"
":÷","Operator",0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"4/17 (23%)","Division operator - CRITICAL"
":¬","Operator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0/17 (0%)","Bitwise NOT - MISSING EVERYWHERE"
":∧","Operator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0/17 (0%)","Bitwise AND - MISSING EVERYWHERE"
":∨","Operator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0/17 (0%)","Bitwise OR - MISSING EVERYWHERE"
":⊻","Operator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0/17 (0%)","Bitwise XOR - MISSING EVERYWHERE"
":⊼","Operator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0/17 (0%)","Bitwise NAND - MISSING EVERYWHERE"
":⊽","Operator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0/17 (0%)","Bitwise NOR - MISSING EVERYWHERE"
":ash","Operator",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/17 (5%)","Arithmetic shift - CRITICAL"
